stock_name,production_vendor,Amount
DVD-DRA-2391,NBC,10868.64
BLU-DRA-7552,AMC,9515.45
BLU-DRA-4350,Netflix,7986.4
DIG-DRA-4299,CBS,21217.56
BLU-DRA-6569,USA Network,10795.08
DIG-COM-1747,NBC,7785.34
DIG-DRA-9620,Netflix,16394.1
4K-DRA-4974,MTV,14316.97
4K-ROM-2908,Freeform,4746.47
4K-ACT-9464,Nickelodeon,3692.27
BLU-DRA-1120,HBO,12095.59
DVD-DRA-8039,FOX,8375.65
BLU-DRA-9085,CBS,3119.16
BLU-DRA-1156,STARZ,12866.82
4K-DRA-8982,FX,5272.65
DIG-DRA-8298,Netflix,8713.44
DIG-DRA-2937,NewsNation,16016.24
DVD-DRA-8541,AMC,11344.23
BLU-ACT-9114,CBS,18418.12
4K-DRA-6249,NBC,8807.37
DVD-DRA-7811,The CW,17192.13
DIG-DRA-8801,NBC,22542.77
BLU-DRA-2079,AMC,21076.06
DVD-COM-6272,HBO,20493.62
DVD-COM-1256,FOX,24379.88
DIG-DRA-4203,NBC,5886.47
DVD-DRA-8613,A&E,9633.64
4K-DRA-5031,FOX,15025.61
DIG-DRA-8097,Lionsgate+,22882.53
BLU-DRA-3555,Freeform,6118.72
BLU-DRA-8707,ABC,20361.11
BLU-ACT-1047,The CW,17996.22
DVD-DRA-1362,Lifetime,10792.49
4K-DRA-5654,FOX,17165.97
BLU-DRA-3685,The CW,9895.02
4K-ACT-4405,Syfy,23577.55
BLU-DRA-5249,USA Network,7446.29
DIG-ACT-2534,Syfy,21650.45
DVD-ACT-5135,Syfy,4165.11
DIG-DRA-3220,STARZ,6810.8
DVD-DRA-7748,BBC One,22514.47
4K-DRA-5620,ABC,8229.14
DIG-DRA-7422,FOX,8284.83
4K-DRA-7183,ABC,18057.99
4K-DRA-8086,Audience Network,24818.14
4K-COM-2386,FOX,3904.58
DVD-COM-4692,Adult Swim,14927.52
DVD-DRA-6304,CBS,20731.56
4K-DRA-7559,Syfy,21144.22
DIG-DRA-5551,Syfy,19774.77
DVD-DRA-5796,TF1,11194.98
DIG-DRA-1406,SundanceTV,21887.87
DIG-DRA-3791,MTV,10026.61
DVD-DRA-7825,Freeform,24246.21
4K-DRA-4529,Freeform,9143.05
BLU-COM-8826,CBS,5930.93
4K-DRA-3900,TNT,6078.44
DIG-DRA-2124,ABC,15456.09
DIG-COM-6823,ABC,10863.6
DIG-COM-8252,NBC,17850.36
BLU-DRA-2989,CBS,19612.33
DIG-DRA-5805,ABC,13872.88
DVD-DRA-2798,NBC,11942.19
4K-DRA-1268,ABC,13325.86
DIG-COM-4876,NBC,4785.91
DIG-DRA-8362,ABC,20759.09
DIG-ACT-8216,NBC,3267.6
4K-DRA-8560,TNT,21697.89
DIG-COM-5028,FX,13711.62
DIG-ACT-4755,Fox Nation,9880.54
DIG-COM-6040,USA Network,22168.29
DIG-DRA-9619,ITV1,22350.54
DIG-COM-9252,TBS,21668.05
DIG-DRA-9741,CBC,7609.74
DIG-WAR-1708,BBC Two,17919.74
BLU-COM-6944,Comedy Central,22249.32
BLU-ACT-4542,RTL,4019.24
4K-COM-2282,Comedy Central,14368.07
BLU-COM-1445,Disney XD,14175.13
DVD-DRA-5780,ITV1,16889.5
4K-DRA-1570,Disney Channel,13930.23
4K-FOO-4249,FOX,23804.11
DVD-SPO-5225,PokerGO,13122.06
BLU-FOO-2548,CNN,18940.52
DVD-COM-9382,AMC,5518.23
DIG-COM-1912,Comedy Central,23087.83
DIG-DRA-2665,E4,10205.9
4K-CRI-5645,National Geographic,21095.59
BLU-COM-3838,Comedy Central,16854.08
BLU-COM-5095,E!,16995.77
BLU-DRA-3407,BBC One,19791.7
DVD-COM-8359,HBO,10839.32
DVD-COM-6665,CBS,19074.11
DIG-DRA-9522,Sky Showcase,14840.25
4K-COM-6069,Netflix,11986.17
DVD-COM-6371,Citytv,5195.2
DIG-DRA-2260,BBC One,3590.9
BLU-COM-3595,FXX,9214.84
DVD-DRA-9211,CTV,17818.87
4K-COM-7965,Adult Swim,7448.42
DIG-COM-4375,BBC iPlayer,3733.93
4K-COM-9661,FXX,10799.29
4K-DRA-3836,BBC One,7059.76
DIG-COM-5893,Comedy Central,15734.1
4K-DRA-1693,TNT,3190.75
BLU-COM-9774,BBC Two,20609.5
DIG-DRA-8429,MTV,8770.59
DIG-COM-5669,MTV,13526.33
4K-DRA-5024,ITV1,11374.03
DIG-ROM-2278,Hallmark Mystery,6583.26
4K-DRA-5721,BBC One,13164.84
4K-COM-3740,Comedy Central,3812.55
DIG-MUS-3856,ABC,9456.99
BLU-MUS-5920,NBC,9589.89
BLU-COM-5844,Cartoon Network,6902.2
DIG-DRA-3277,CTV,10148.39
BLU-COM-2963,BBC Four,16696.64
BLU-DRA-7502,NBC,8865.47
DIG-FOO-9782,Bravo,9871.61
DIG-COM-6132,NBC,20052.62
4K-DRA-7297,Freeform,15349.75
BLU-DRA-5423,STARZ,14201.49
BLU-DRA-2162,TNT,21246.86
DVD-DRA-6985,The CW,8031.97
4K-COM-9660,SwearNet,12663.88
DVD-COM-4599,Hulu,18537.42
DVD-COM-6719,Adult Swim,11411.57
4K-DRA-2269,Netflix,23209.2
BLU-DRA-8847,ITV1,12151.3
4K-DRA-5440,BBC Three,24792.43
4K-DRA-1810,El Rey Network,7504.53
DIG-ACT-2221,Audience Network,10217.81
BLU-DRA-1389,FX,21049.88
BLU-DRA-9715,USA Network,16931.49
DIG-DRA-6801,FXX,7708.34
DVD-COM-3877,ITV2,18428.06
DIG-DRA-9907,Paramount+ with Showtime,16909.36
BLU-COM-7012,FXX,14625.38
DVD-DRA-6867,BBC One,17057.76
4K-COM-3118,ITV1,4916.06
DVD-COM-2130,Yahoo! View,15064.71
BLU-COM-9078,TBS,17548.93
4K-DRA-5869,BBC Two,16997.64
DIG-COM-6490,Netflix,4658.62
BLU-DRA-9582,BET,4115.25
BLU-DRA-6581,USA Network,14957.38
DVD-FOO-3171,FOX,15126.76
DIG-DRA-9150,BET,4286.55
4K-COM-6129,Paramount+,20092.95
4K-DRA-3738,Acorn TV,12718.45
DVD-FOO-2382,TNT,14129.31
4K-DRA-3234,Prime Video,21840.83
BLU-DRA-6679,Paramount+,19831.53
4K-COM-1507,Comedy Central,11295.44
DIG-DRA-6631,BBC One,16227.3
DVD-ACT-2897,ABC,5658.22
4K-FOO-9333,Channel 4,16756.69
4K-DRA-6997,ABC,14623.4
BLU-DRA-8831,ABC,18862.66
BLU-ACT-2910,TNT,17277.24
DIG-DRA-4338,NBC,10031.16
4K-DRA-5503,FX,5003.48
DVD-DRA-2617,BBC One,12433.67
DVD-DRA-1556,TNT,17711.27
DVD-DRA-3817,USA Network,24390.85
BLU-COM-7430,TV Land,17640.08
BLU-COM-4758,FXX,8316.15
BLU-COM-2775,Freeform,10159.98
BLU-COM-3163,BBC Two,9294.84
DIG-COM-4835,NBC,12198.94
DVD-COM-7970,Freeform,5359.94
DIG-COM-3643,TV Land,20514.97
DIG-DRA-8000,BBC One,20906.65
DIG-COM-5608,TBS,5883.08
DIG-COM-7689,CBS,18291.12
DVD-COM-1790,Channel 4,15182.57
BLU-DRA-5125,TNT,12300.09
BLU-DRA-7695,STARZ,16244.54
4K-COM-5684,Comedy Central,11613.47
DVD-DRA-2090,BBC Two,10027.34
DVD-COM-1721,NBC,10708.23
DVD-DRA-3352,Freeform,9088.56
4K-COM-4171,NBC,9808.36
4K-DRA-4944,BET Her,8796.8
BLU-DRA-7670,Prime Video,3748.76
DVD-COM-3915,USA Network,9285.9
DVD-DRA-4775,HBO,17875.92
DVD-COM-6035,U&Dave,10839.34
DVD-FAN-8290,CBBC,6863.22
BLU-COM-1092,Comedy Central,16909.75
4K-DRA-3785,SundanceTV,23060.21
DVD-COM-9657,nick@nite,8256.71
4K-COM-2399,Sky Showcase,4231.44
DVD-COM-1892,BBC Two,17040.74
DVD-COM-9256,Comedy Central,23946.37
4K-COM-7020,IFC,8239.22
BLU-DRA-6673,BBC One,18482.22
DIG-COM-7009,BBC One,24439.36
BLU-ADV-4848,Science,14466.74
4K-COM-6130,ITV1,18597.41
DIG-COM-9357,Adult Swim,22876.2
DIG-COM-8420,Channel 4,12958.94
DVD-DRA-6161,TNT,24005.62
4K-DRA-3986,AMC,21653.95
DVD-COM-8821,Sky Showcase,21540.69
DVD-DRA-5737,Global,3062.44
DVD-COM-3095,CBS,14216.54
4K-DRA-1600,BBC One,24199.22
DVD-COM-8261,rocketjump.com,9478.79
DIG-DRA-2286,BBC One,21257.29
BLU-DRA-4871,Netflix,4360.84
DIG-ADV-3287,Disney XD,10346.38
4K-COM-4925,ABC,8707.26
DIG-COM-9356,A&E,12046.87
4K-DRA-9282,Lifetime,18858.15
BLU-DRA-9787,BBC America,18875.09
4K-DRA-5585,NBC,17975.95
BLU-DRA-9140,Sky Arts,9202.18
4K-DRA-1768,FOX,10362.9
BLU-DRA-3166,STARZ,6558.27
DVD-DRA-2042,Channel 4,16970.2
DIG-DRA-8775,TBS,19484.36
DVD-ACT-8214,Machinima,7618.56
DIG-DRA-7261,Freeform,14429.45
4K-CHI-6870,Nickelodeon,23977.39
DVD-DRA-9403,NBC,15803.75
DVD-DRA-5844,USA Network,3017.49
DIG-COM-7965,NBC,12541.66
BLU-COM-6266,USA Network,10517.63
BLU-DRA-4479,HBO,11821.77
DVD-ROM-9589,Paramount+,21303.61
4K-CHI-7255,FOX,19481.93
DIG-COM-9169,USA Network,14315.81
BLU-COM-3153,Nickelodeon,22986.07
4K-DRA-6362,CBS,21543.38
BLU-COM-1621,BBC Two,16917.82
BLU-DRA-4433,BBC One,23050.62
DVD-HIS-3883,BBC One,14324.24
BLU-DRA-9900,UPN,6358.22
BLU-DRA-2425,The WB,8004.89
BLU-ACT-8325,Syfy,12312.5
DIG-DRA-8734,FOX,11688.04
DIG-COM-4445,NBC,21434.88
4K-ACT-8771,FOX,21798.52
BLU-DRA-6612,Syfy,16124.06
DIG-DRA-3860,Syfy,15648.17
DIG-DRA-2917,The CW,11523.14
DIG-DRA-8271,Paramount+ with Showtime,24342.82
BLU-ACT-9055,Syndication,24221.81
BLU-ACT-7769,Syndication,12979.18
DVD-ACT-5543,Nicktoons,21558.69
DIG-DRA-5002,The WB,13965.55
BLU-COM-6319,CTV,13601.59
DVD-ACT-7263,Showcase,24360.91
BLU-ACT-5230,France 4,23629.13
DIG-DRA-1410,CTV,8434.92
DVD-ACT-9864,ABC,3246.07
DVD-ADV-1796,Vice TV,10387.72
4K-DRA-1363,REELZ,15275.75
DIG-DRA-9688,UPN,13621.43
4K-ACT-9942,NBC,14153.39
BLU-DRA-2135,BBC One,9529.34
DVD-COM-4827,HBO,10190.76
4K-DRA-7378,USA Network,19571.42
DVD-ACT-5800,Paramount Network,7798.57
4K-DRA-4374,CBS,8337.85
DVD-DRA-5302,NBC,11794.47
DIG-DRA-1134,ABC,14558.18
DVD-HOR-9576,CBS,16553.98
DIG-ACT-2282,Syndication,21336.67
DVD-ACT-6845,Syndication,17817.42
DIG-ACT-7844,Syndication,14106.78
BLU-DRA-7309,NBC,22427.35
4K-DRA-6878,HBO,5156.93
DVD-DRA-7704,HBO,19367.29
DIG-DRA-6447,ABC,18339.97
DIG-FAN-4756,Lifetime,8421.4
DIG-DRA-9124,CBS,11916.46
4K-DRA-5603,Crave,7095.61
DVD-DRA-2760,ITV1,24694.37
4K-DRA-5901,AMC,11669.16
4K-CHI-1181,FOX,5885.92
DIG-DRA-2721,Hulu,19580.76
BLU-ACT-2854,ABC,18522.57
BLU-DRA-2598,TNT,15736.99
DVD-COM-9633,E4,17473.51
BLU-COM-6266,FX,5638.52
DIG-DRA-1839,FOX,9176.46
DVD-ACT-3441,TNT,8976.23
4K-ACT-7702,The WB,14490.43
4K-ACT-7001,The CW,17403.06
DVD-HOR-9561,Paramount+ with Showtime,16553.86
DVD-DRA-7816,USA Network,4831.97
BLU-ACT-5849,Syfy,10390.65
DVD-DRA-1516,ABC,21520.34
DVD-ACT-9550,Syfy,14163.47
DVD-DRA-7147,FOX,15464.37
BLU-ACT-6087,TV Tokyo,21050.01
DVD-COM-9074,Boomerang,15470.69
DVD-ACT-4556,NBC,9672.04
BLU-ACT-4353,Syndication,8477.23
DVD-ACT-4710,UPN,13956.0
DVD-ACT-2748,Syndication,19180.9
DIG-DRA-5193,ABC,21824.67
BLU-ACT-7354,TV Tokyo,19574.04
BLU-COM-6739,Nickelodeon,19766.66
BLU-MYS-3806,Science,9794.05
BLU-WAR-2114,A&E,19700.5
DIG-COM-7739,FOX,7709.4
DIG-ACT-8129,Syndication,11132.36
DVD-DRA-2927,CBS,11678.75
BLU-ACT-6792,Syndication,22879.36
BLU-DRA-2271,Syfy,14911.19
4K-ACT-5449,The WB,12473.56
4K-ACT-5483,Cartoon Network,21430.0
DVD-DRA-2719,The WB,5300.3
4K-DRA-9678,HBO,5916.23
BLU-DRA-2193,TNT,12791.0
DIG-COM-6435,ABC,23536.01
DIG-COM-9218,FOX,20944.24
4K-DRA-3837,FOX,5949.78
BLU-COM-7746,NBC,16923.27
BLU-DRA-6926,Freeform,8206.82
4K-COM-7665,Disney Channel,15742.21
DIG-DRA-8793,Paramount+ with Showtime,3005.09
BLU-ACT-2983,FOX,10774.44
DIG-DRA-9902,USA Network,13488.91
BLU-DRA-6569,FOX,7914.12
BLU-DRA-7283,NBC,17524.65
DVD-DRA-2927,The CW,15497.71
DVD-COM-8780,NBC,16531.95
BLU-DRA-4990,HBO,15475.31
BLU-ACT-1585,CBS,9631.59
4K-FOO-7447,Cooking Channel,24989.5
DVD-COM-1561,NBC,5137.37
4K-DRA-4667,ABC,22246.93
BLU-COM-5659,TV Land,3314.0
DVD-FOO-7660,Travel Channel,12353.47
DIG-COM-2445,The CW,19718.95
DIG-COM-8719,NBC,13714.76
BLU-COM-7750,Hulu,22529.8
DIG-COM-9621,Channel 4,24075.65
BLU-COM-2583,NBC,12226.88
